Date_,Lat,Lon,Depth,Mag
20000101,-60.722,153.67,10,6
20000105,-11.371,165.378,33,6.1
20000106,58.04,-136.87,1,6.2
20000106,16.095,119.484,33,6.2
20000108,-9.805,159.811,33,6.4
20000108,-23.169,-70.122,36,6.4
20000108,-16.925,-174.248,183.4,7.2
20000109,-18.823,174.37,33,6.5
20000113,-17.61,-178.742,535,6.2
20000115,-21.216,-179.255,632.8,6
20000119,36.372,70.379,206.9,6
20000120,43.649,-127.257,10,6.1
20000126,-17.272,-174.002,33,6.3
20000128,43.046,146.837,61.1,6.8
20000128,26.076,124.496,193.9,6
20000206,-5.844,150.876,33,6.6
20000213,42.853,131.572,513.6,6
20000225,-19.528,173.818,33,7.1
20000226,13.795,144.782,132.2,6.2
20000226,9.406,-78.532,65,6.1
20000228,-17.588,-178.984,538,6
20000229,-50.066,-114.201,10,6
20000229,-18.158,169.014,33,6
20000303,-7.321,128.491,141.9,6.4
20000303,-6.817,143.807,10,6.6
20000304,-60.167,149.868,10,6.4
20000305,-62.902,145.637,10,6.1
20000312,14.975,-92.444,62,6.3
20000328,22.338,143.73,126.5,7.6
20000403,4.082,125.61,150,6.2
20000407,-18.045,65.517,10,6.3
20000418,-20.664,-176.469,220.7,6
20000421,51.422,-178.137,33,6
20000423,-28.307,-62.99,608.5,7
20000423,-28.384,-62.943,609.8,6.1
20000504,-1.105,123.573,26,7.6
20000504,-17.914,-178.522,515.8,6.5
20000506,-11.295,165.432,12,6.3
20000508,-4.457,150.004,502,6.1
20000512,-23.548,-66.452,225,7.2
20000512,35.975,70.657,107.7,6.3
20000514,-4.296,123.164,33,6.3
20000521,71.19,-8.263,10,6
20000526,11.359,139.245,33,6
20000602,44.513,-130.081,10,6.2
20000603,35.552,140.464,62.3,6.1
20000604,-4.721,102.087,33,7.9
20000604,-4.646,102.102,33,6.7
20000604,28.723,65.383,33,6
20000606,40.693,32.992,10,6.1
20000606,-5.093,102.699,33,6.2
20000606,29.424,131.421,33,6.4
20000607,26.856,97.238,33,6.4
20000607,-4.612,101.905,33,6.7
20000609,-5.071,152.495,33,6.3
20000609,-5.549,102.679,33,6
20000609,-11.301,162.062,33,6.1
20000609,30.491,137.73,485.3,6.3
20000610,23.843,121.225,33,6.4
20000611,-50.579,139.55,10,6.6
20000614,-25.516,178.046,604.6,6.4
20000614,4.542,127.722,89.5,6.4
20000614,-17.902,176.212,33,6
20000615,29.368,132.082,10,6.1
20000616,-33.877,-70.088,120.2,6.5
20000617,63.966,-20.487,10,6.8
20000618,-13.802,97.453,10,7.8
20000620,-14.104,97.577,10,6.1
20000621,63.98,-20.758,10,6.5
20000621,14.112,144.962,112.2,6
20000625,31.183,131.206,10,6.2
20000701,34.221,139.131,10,6.2
20000707,51.411,179.978,31,6.4
20000708,34.053,139.126,10,6
20000711,57.369,-154.206,43.6,6.8
20000715,34.319,139.26,10,6.1
20000716,20.253,122.043,33,6.4
20000716,-7.747,150.917,10,6.6
20000716,-12.404,166.509,33,6.1
20000717,36.283,70.924,141.4,6.4
20000720,36.51,140.983,47.1,6
20000721,9.416,-85.329,33,6.4
20000730,33.901,139.376,10,6.5
20000731,-16.697,174.542,10,6.1
20000731,-29.279,-176.35,10,6.1
20000803,-12.037,166.448,33,6.7
20000804,48.786,142.246,10,6.8
20000806,28.856,139.556,394.8,7.3
20000807,-7.018,123.357,648.5,6.5
20000809,-15.693,167.986,33,6.4
20000809,18.198,-102.48,45.8,6.5
20000809,-16.797,174.332,33,6.4
20000812,-3.072,136.112,33,6
20000814,-9.377,153.854,10,6
20000815,-31.511,179.725,357.7,6.6
20000821,-53.02,-45.966,10,6.1
20000824,-6.026,102.687,33,6
20000828,-4.11,127.394,16,6.8
20000828,-3.986,127.325,10,6.1
20000828,-4.163,127.311,33,6
20000828,-4.124,127.027,33,6.4
20000901,1.438,96.591,33,6.2
20000902,-20.073,-179.135,687.6,6
20000910,-1.112,129.332,33,6.1
20000911,-15.877,-173.691,115.4,6.3
20000912,35.389,99.343,10,6.1
20000912,-5.435,101.823,33,6
20000914,-15.742,179.801,33,6.3
20000922,-4.964,102.104,33,6.2
20000926,-17.178,-173.927,56,6.4
20000928,-0.215,-80.582,22.9,6.6
20001002,-7.977,30.709,34,6.5
20001003,40.282,143.124,33,6.1
20001004,11.124,-62.559,110.3,6.1
20001004,-15.421,166.91,23,6.8
20001005,31.732,-40.958,10,6
20001005,6.853,126.822,87.3,6
20001006,35.456,133.134,10,6.7
20001021,-47.347,-12.403,10,6
20001021,1.832,-90.585,10,6
20001025,-34.605,-109.648,10,6
20001025,-6.549,105.63,38,6.8
20001025,-34.678,-109.458,10,6.1
20001027,26.266,140.46,388,6.1
20001029,-4.766,153.945,50,6.9
20001030,-9.708,119.075,33,6
20001031,-17.867,-175.312,33,6.1
20001101,-45.07,167.009,24.5,6.2
20001106,56.15,-153.456,20,6
20001107,-55.627,-29.876,10,6.8
20001108,7.042,-77.829,17,6.5
20001113,42.542,144.758,33,6
20001116,-3.958,152.268,33,8
20001116,-5.179,153.054,33,7.6
20001116,-4.903,153.201,33,6.5
20001116,-5.253,152.911,33,6.2
20001117,-5.453,151.685,33,7.6
20001118,-5.092,153.049,33,6.9
20001118,-5.138,151.731,33,6.8
20001118,-5.402,153.49,33,6
20001119,-5.118,151.648,53.7,6
20001119,-5.657,151.763,33,6.1
20001119,-4.794,153.164,33,6
20001121,-5.32,152.122,33,6.2
20001121,-4.935,152.764,33,6.2
20001123,-4.602,153.077,33,6.4
20001125,40.332,49.958,10,6.3
20001125,40.108,49.959,10,6.3
20001129,-24.504,-70.549,58.4,6.4
20001204,14.906,-93.898,33,6
20001206,39.625,54.772,30,7
20001206,-4.184,152.771,31,6.6
20001212,6.02,-82.682,10,6.1
20001215,38.608,31.058,10,6.1
20001218,-21.107,-179.072,600,6.6
20001219,11.782,144.76,33,6.2
20001220,-39.061,-74.425,33,6.4
20001220,-9.231,154.328,33,6.6
20001221,-5.74,151.126,33,6.4
20001221,-5.298,154.031,385.6,6
20001222,44.833,147.157,136.7,6.2
20001223,-7.901,135.801,60.5,6
20001228,-4.037,152.378,33,6.2
